# dft_x model_x dft_y model_y dft_z model_z diff_x diff_y diff_z
-0.012737 0.014509 0.012681 0.035064 -0.204175 -0.207457 0.027245 0.022382 0.003282
-0.290249 -0.312875 -0.074842 -0.103888 0.269461 0.223248 0.022625 0.029045 0.046214
0.050273 0.066877 -0.025408 -0.028786 -0.129447 -0.131807 0.016604 0.003378 0.002360
-0.012314 0.032456 0.133082 0.153144 -0.004237 -0.029318 0.044769 0.020063 0.025081
0.259082 0.259916 -0.031345 -0.026548 -0.068663 -0.062377 0.000834 0.004797 0.006286
0.072214 0.020896 -0.425547 -0.411251 0.096244 0.124364 0.051318 0.014296 0.028120
0.086259 0.055884 0.007521 0.008237 -0.194495 -0.165659 0.030375 0.000716 0.028836
0.039139 0.040699 -0.038487 -0.049743 -0.097004 -0.087272 0.001559 0.011256 0.009733
0.298086 0.281319 0.274035 0.275296 -0.082106 -0.112519 0.016767 0.001261 0.030412
-0.163234 -0.169002 -0.148477 -0.160822 0.001458 -0.011721 0.005767 0.012345 0.013179
0.248972 0.278688 0.047215 0.043998 -0.431081 -0.418715 0.029716 0.003216 0.012365
0.127917 0.120849 0.281546 0.266984 -0.039046 -0.043402 0.007068 0.014562 0.004355
-0.555100 -0.530593 -0.017039 -0.025819 -0.125379 -0.117539 0.024507 0.008781 0.007840
0.027064 0.049187 0.214145 0.218871 -0.037800 -0.057326 0.022124 0.004726 0.019526
-0.040235 -0.031313 -0.191108 -0.183604 0.056805 0.059488 0.008922 0.007504 0.002684
0.045537 0.016605 0.100059 0.104806 0.050168 0.037106 0.028932 0.004748 0.013062
-0.099030 -0.110236 0.166290 0.151205 -0.244242 -0.232699 0.011206 0.015086 0.011543
0.138211 0.132241 0.021781 -0.019015 0.041384 0.044134 0.005971 0.040796 0.002750
-0.060386 -0.058376 -0.404169 -0.390479 -0.295016 -0.273655 0.002010 0.013690 0.021361
-0.137517 -0.139901 -0.015199 -0.032512 0.101479 0.115603 0.002384 0.017313 0.014124
-0.001927 -0.009839 0.072930 0.051690 0.236963 0.219925 0.007912 0.021240 0.017038
0.031157 0.027988 -0.156219 -0.193552 0.225490 0.181304 0.003169 0.037333 0.044187
-0.136999 -0.163657 0.035836 0.045600 -0.146353 -0.147176 0.026658 0.009764 0.000823
0.070429 0.089673 -0.122585 -0.092707 -0.141449 -0.171974 0.019244 0.029878 0.030525
-0.109537 -0.083257 -0.083412 -0.126490 0.081611 0.073752 0.026280 0.043078 0.007859
-0.218967 -0.238386 0.115802 0.144843 0.192081 0.168140 0.019419 0.029041 0.023942
0.400411 0.369554 0.096060 0.116215 0.201885 0.215404 0.030858 0.020156 0.013520
-0.020078 -0.015695 -0.027185 -0.016444 -0.176048 -0.179807 0.004384 0.010741 0.003759
-0.361182 -0.376205 -0.034079 -0.017536 -0.078314 -0.092361 0.015022 0.016543 0.014048
0.253321 0.269149 0.254419 0.246986 -0.023232 -0.035219 0.015828 0.007433 0.011987
-0.232030 -0.213383 0.208422 0.209279 -0.347494 -0.338474 0.018647 0.000857 0.009020
0.123638 0.105042 0.060904 0.056329 0.267122 0.250006 0.018596 0.004575 0.017115
-0.181492 -0.153123 0.219448 0.214504 -0.421114 -0.391460 0.028369 0.004943 0.029654
-0.415433 -0.395393 0.319413 0.328447 -0.173316 -0.194612 0.020040 0.009034 0.021296
-0.172962 -0.160803 0.147930 0.141672 -0.040588 -0.046593 0.012158 0.006259 0.006005
-0.091286 -0.099387 0.130977 0.125177 0.092940 0.073843 0.008101 0.005801 0.019097
-0.045958 -0.064893 0.101177 0.144358 -0.077286 -0.060084 0.018935 0.043182 0.017202
0.096328 0.087979 -0.085812 -0.081038 0.204448 0.230123 0.008349 0.004774 0.025675
-0.062932 -0.054050 -0.140296 -0.153908 -0.030906 -0.059919 0.008882 0.013612 0.029014
0.008183 -0.003200 0.079555 0.092040 0.222709 0.224104 0.011383 0.012485 0.001395
-0.127702 -0.114857 0.028227 0.061323 0.195021 0.203221 0.012846 0.033097 0.008200
0.065750 0.071170 -0.097818 -0.078453 0.141979 0.130396 0.005419 0.019365 0.011583
-0.119373 -0.107702 -0.032193 -0.048893 0.093325 0.078147 0.011671 0.016700 0.015178
0.231800 0.237320 -0.091770 -0.073662 -0.005431 -0.004944 0.005519 0.018108 0.000486
0.052780 0.081230 -0.260990 -0.248300 -0.129319 -0.120608 0.028450 0.012689 0.008711
-0.061532 -0.063163 0.019886 0.011054 0.089666 0.138280 0.001631 0.008832 0.048615
0.186845 0.155002 -0.201117 -0.166817 -0.079882 -0.060291 0.031843 0.034300 0.019591
-0.071416 -0.058130 -0.160712 -0.148879 -0.117211 -0.112964 0.013287 0.011833 0.004247
0.262931 0.235738 0.061263 0.079557 -0.083837 -0.089698 0.027193 0.018294 0.005860
0.215155 0.230048 -0.077130 -0.063440 -0.076454 -0.066023 0.014893 0.013690 0.010431
-0.557877 -0.537013 0.208845 0.205933 -0.341813 -0.338176 0.020864 0.002911 0.003636
-0.099484 -0.110037 -0.157761 -0.158905 0.160131 0.149058 0.010553 0.001144 0.011073
0.070847 0.085849 -0.035946 -0.038649 -0.219607 -0.196179 0.015003 0.002703 0.023428
0.025645 0.026575 0.148680 0.176981 -0.469929 -0.464134 0.000930 0.028301 0.005795
0.142520 0.156590 0.079105 0.067279 0.169669 0.174625 0.014070 0.011827 0.004956
-0.011829 0.018444 0.116269 0.100973 -0.110731 -0.108631 0.030273 0.015296 0.002100
-0.025118 -0.044549 -0.231550 -0.220882 0.226974 0.246512 0.019431 0.010669 0.019538
-0.245528 -0.181330 -0.002545 -0.034248 0.437188 0.409418 0.064199 0.031703 0.027770
-0.077111 -0.065328 0.037671 0.062696 0.053975 0.014813 0.011783 0.025025 0.039163
0.099593 0.106480 0.097722 0.091857 0.008752 0.017461 0.006886 0.005865 0.008710
0.036741 0.013338 0.093466 0.101960 -0.101059 -0.066150 0.023403 0.008494 0.034909
-0.161709 -0.184658 0.099910 0.080889 0.281151 0.259208 0.022949 0.019021 0.021943
-0.094221 -0.076580 0.134312 0.104968 0.073022 0.060635 0.017642 0.029345 0.012386
0.039052 0.031633 0.118186 0.115184 -0.020168 -0.031301 0.007419 0.003002 0.011132
0.022943 0.035686 -0.135817 -0.148387 -0.045341 -0.048816 0.012744 0.012570 0.003474
-0.193420 -0.197787 0.128645 0.106067 -0.223673 -0.225200 0.004367 0.022578 0.001527
0.024618 0.011590 -0.140330 -0.124161 0.075256 0.074811 0.013028 0.016169 0.000445
-0.221369 -0.214104 0.032874 0.036827 0.185640 0.180663 0.007266 0.003954 0.004977
-0.052446 -0.069940 0.104644 0.110070 -0.145341 -0.142856 0.017494 0.005427 0.002485
0.374629 0.399915 -0.076399 -0.071196 0.060576 0.041582 0.025286 0.005203 0.018994
-0.929488 -0.920215 0.405554 0.415034 -0.261840 -0.278227 0.009273 0.009480 0.016387
-0.111849 -0.106568 -0.149781 -0.150600 -0.048476 -0.046673 0.005280 0.000819 0.001803
0.010753 0.016437 -0.139701 -0.142639 -0.003952 0.007554 0.005684 0.002938 0.011506
0.309691 0.327046 -0.159795 -0.163101 -0.208828 -0.211598 0.017355 0.003307 0.002770
0.047490 0.038544 -0.139015 -0.131789 0.057363 0.045870 0.008946 0.007226 0.011494
-0.028784 -0.018048 0.062488 0.072191 -0.014825 0.004757 0.010737 0.009703 0.019582
0.092441 0.055093 0.070731 0.035011 0.398274 0.352743 0.037348 0.035720 0.045530
0.017832 0.004675 0.148369 0.145329 -0.020397 -0.067786 0.013157 0.003040 0.047389
-0.121784 -0.106976 0.368260 0.370709 -0.028277 -0.037660 0.014809 0.002449 0.009383
-0.083053 -0.047588 -0.060389 -0.066445 -0.083692 -0.103923 0.035465 0.006056 0.020231
