ix,iy,x,y,Px,Py,Pz,Pab,Pmag
2,7,9.779257774,29.33280659,-39.22625354,-27.07833787,26.09835839,47.66482297,54.3420616
3,7,13.69096088,29.33280659,-39.92738413,38.22375917,-36.07755302,55.27433191,66.00637545
4,7,17.60266399,29.33280659,-40.72724315,38.7321091,-39.69096067,56.20395547,68.80593702
5,7,21.5143671,29.33280659,-38.75188153,39.71291519,-38.50899648,55.48715126,67.54085256
6,7,25.42607021,29.33280659,-39.05243286,39.51190302,-38.87563921,55.5543247,67.80559207
7,7,29.33777332,29.33280659,-38.14229837,38.48202343,-38.84208335,54.18211007,66.66639701
8,7,33.24947643,29.33280659,-37.61457686,39.1959219,-38.9344432,54.32473365,66.83612461
9,7,37.16117954,29.33280659,-38.46643012,39.17183885,-38.30965072,54.90081243,66.9457134
10,7,41.07288265,29.33280659,-38.26222743,37.70641762,-38.9554101,53.71938177,66.35733534
11,7,44.98458576,29.33280659,-39.23783813,39.66206597,-38.27081753,55.79146367,67.65606324
12,7,48.89628887,29.33280659,-37.41576921,38.72422825,-39.0017814,53.84705785,66.48792816
13,7,52.80799198,29.33280659,-41.39078478,34.89250488,-34.69908095,54.13579187,64.30171211
14,7,56.71969509,29.33280659,-38.92919906,26.80857829,-21.58095175,47.26713879,51.96075334
15,7,60.6313982,29.33280659,-37.90954842,-38.12373247,37.788848,53.76386183,65.71567448
16,7,64.54310131,29.33280659,-37.89332464,-41.23003876,40.25946061,55.99839416,68.96842986
17,7,68.45480442,29.33280659,-38.81972562,-37.60993125,40.55275669,54.05069866,67.57221397
18,7,72.36650753,29.33280659,-38.87930588,-39.95930308,40.73900425,55.75254548,69.05079866
19,7,76.27821064,29.33280659,-39.36818332,-37.72194619,38.09380107,54.52338106,66.51268121
0,8,1.955851555,33.24384747,-37.93191885,-37.58537226,43.52124726,53.39935089,68.8882402
1,8,5.867554665,33.24384747,-41.8814153,-37.37449166,36.92917052,56.13292772,67.1912882
2,8,9.779257774,33.24384747,-39.73178349,-28.15368845,26.3211231,48.69542887,55.35382836
3,8,13.69096088,33.24384747,-38.92153862,39.59502274,-37.207088,55.52163537,66.83576432
4,8,17.60266399,33.24384747,-39.1391593,38.82333119,-39.84875607,55.12825805,68.02240952
5,8,21.5143671,33.24384747,-40.21086381,38.80053746,-39.37356798,55.87839721,68.35695378
6,8,25.42607021,33.24384747,-39.39792107,40.0733831,-39.37662499,56.19672782,68.61917234
7,8,29.33777332,33.24384747,-39.39345179,38.92823559,-39.63322913,55.38277322,68.1031895
8,8,33.24947643,33.24384747,-38.81436587,38.32092745,-37.45924283,54.54400498,66.16829567
9,8,37.16117954,33.24384747,-39.43979913,39.46598326,-39.01574326,55.79481687,68.08296271
10,8,41.07288265,33.24384747,-38.83819042,38.55755815,-36.83258096,54.7274184,65.96763862
11,8,44.98458576,33.24384747,-39.34971624,39.85021036,-38.3282437,56.00392338,67.86378783
12,8,48.89628887,33.24384747,-38.37597259,39.43927296,-38.94825685,55.02882448,67.41764039
13,8,52.80799198,33.24384747,-41.1716346,36.12809663,-35.42198409,54.77538555,65.23081955
14,8,56.71969509,33.24384747,-39.86280959,26.42445361,-22.5515759,47.82567654,52.87597671
15,8,60.6313982,33.24384747,-37.67466291,-39.01688153,39.36509653,54.23741577,67.01722237
16,8,64.54310131,33.24384747,-39.31140779,-38.88940341,40.62942959,55.29712903,68.61867842
17,8,68.45480442,33.24384747,-38.93104345,-39.19011528,40.16117233,55.24030485,68.29649364
18,8,72.36650753,33.24384747,-38.6850407,-38.86352883,41.14619032,54.83526463,68.55592772
19,8,76.27821064,33.24384747,-38.95625674,-39.42063071,40.63749802,55.42180135,68.72395732
0,9,1.955851555,37.15488834,-37.49525559,-38.54993931,40.55007534,53.77724437,67.35206472
1,9,5.867554665,37.15488834,-41.18620387,-36.78818917,35.51173041,55.22385582,65.65635726
2,9,9.779257774,37.15488834,-39.94288568,-25.85530418,25.79382215,47.58078258,54.12256583
3,9,13.69096088,37.15488834,-39.32268799,37.10969072,-38.02873881,54.06850226,66.10285857
4,9,17.60266399,37.15488834,-39.32406603,40.29953452,-37.02176865,56.30661286,67.38728371
5,9,21.5143671,37.15488834,-40.30386451,37.43121517,-38.28925175,55.0045213,67.01913281
6,9,25.42607021,37.15488834,-39.3065252,37.4132926,-38.33381485,54.26561883,66.43973771
7,9,29.33777332,37.15488834,-38.66264027,37.76866485,-37.50943485,54.04879089,65.78928104
8,9,33.24947643,37.15488834,-38.99695905,37.9536088,-40.15483434,54.41726965,67.62876575
9,9,37.16117954,37.15488834,-38.90628723,39.11835961,-39.12463024,55.17196067,67.63639505
10,9,41.07288265,37.15488834,-39.22166257,39.02543403,-38.47998182,55.3292266,67.39460154
11,9,44.98458576,37.15488834,-38.9219393,38.3882377,-39.5549488,54.667853,67.47716745
12,9,48.89628887,37.15488834,-37.43800146,39.81413338,-40.263016,54.65134189,67.88136436
13,9,52.80799198,37.15488834,-41.80332382,35.70123922,-35.69324927,54.97359697,65.54467489
14,9,56.71969509,37.15488834,-37.53360821,27.30940561,-23.24277673,46.41740385,51.91148283
15,9,60.6313982,37.15488834,-37.99812409,-39.50884691,36.62701429,54.81611459,65.92681241
16,9,64.54310131,37.15488834,-38.282833,-40.56063724,40.44221359,55.77401362,68.89349197
17,9,68.45480442,37.15488834,-38.27817215,-40.58749455,41.09172092,55.79035021,69.28991777
18,9,72.36650753,37.15488834,-39.43902641,-37.41583092,40.41380805,54.36341792,67.73962717
19,9,76.27821064,37.15488834,-38.58193634,-38.83743292,40.71826572,54.74405911,68.22674821
0,10,1.955851555,41.06592922,-38.3910136,-37.47269492,41.2241502,53.64767274,67.65724906
1,10,5.867554665,41.06592922,-40.29907932,-35.16348579,36.29190007,53.48351641,64.63426752
2,10,9.779257774,41.06592922,-38.42712997,-26.83312775,26.31697689,46.86855089,53.75169146
3,10,13.69096088,41.06592922,-38.90520955,38.76168341,-36.31447176,54.91888046,65.83938252
4,10,17.60266399,41.06592922,-38.50293585,37.91356766,-39.71026918,54.03623489,67.05833401
5,10,21.5143671,41.06592922,-38.42668891,38.03350809,-39.99327324,54.06623862,67.25042798
6,10,25.42607021,41.06592922,-37.08555675,39.68121962,-37.74248095,54.31332902,66.13949333
7,10,29.33777332,41.06592922,-38.95514408,36.42693384,-39.28407676,53.33314879,66.23944026
8,10,33.24947643,41.06592922,-37.67535185,39.37758817,-38.25726059,54.4979503,66.58561838
9,10,37.16117954,41.06592922,-39.8460377,38.07985162,-38.92318608,55.11607587,67.4744117
10,10,41.07288265,41.06592922,-39.31426583,39.17276578,-38.80010267,55.49880248,67.71680031
11,10,44.98458576,41.06592922,-40.30596172,39.52560388,-38.44478377,56.45213825,68.29967285
12,10,48.89628887,41.06592922,-38.21266839,40.42665681,-38.10983146,55.62843343,67.43057066
13,10,52.80799198,41.06592922,-41.71549617,36.33081929,-35.99377687,55.3182705,65.9974471
14,10,56.71969509,41.06592922,-39.89298979,25.81969719,-24.09008456,47.51954753,53.27700791
15,10,60.6313982,41.06592922,-40.42807902,-40.44612162,36.87811807,57.18669711,68.04641004
16,10,64.54310131,41.06592922,-39.24356899,-39.68897183,41.14981819,55.81462346,69.34392352
17,10,68.45480442,41.06592922,-39.56745602,-39.91159224,41.00141723,56.2007008,69.56748512
18,10,72.36650753,41.06592922,-40.25442227,-38.71725317,40.28946232,55.85198479,68.86715458
19,10,76.27821064,41.06592922,-39.71253434,-40.48954259,41.19430235,56.71409386,70.09606971
0,11,1.955851555,44.9769701,-36.93840519,-40.45800468,40.60636682,54.78408455,68.19217658
1,11,5.867554665,44.9769701,-40.56062972,-34.69610982,36.94791798,53.37588144,64.91635666
2,11,9.779257774,44.9769701,-38.40856983,-24.07679069,25.70856263,45.3311161,52.11372448
3,11,13.69096088,44.9769701,-37.59580251,37.19193863,-35.90374458,52.88368997,63.91997763
4,11,17.60266399,44.9769701,-39.76081015,38.57070959,-38.26254814,55.39514114,67.32491554
5,11,21.5143671,44.9769701,-37.95253138,37.95346894,-40.30098516,53.67364757,67.11951913
6,11,25.42607021,44.9769701,-40.27898336,39.27290646,-38.72866926,56.25617906,68.29837117
7,11,29.33777332,44.9769701,-39.38356218,38.04988869,-39.91831427,54.76183889,67.76673825
8,11,33.24947643,44.9769701,-38.86552604,38.10682153,-38.6653199,54.43031289,66.76575412
9,11,37.16117954,44.9769701,-40.04595459,39.07840056,-37.8869727,55.953551,67.57383051
10,11,41.07288265,44.9769701,-39.68797795,37.25227625,-39.75335749,54.43223016,67.40324259
11,11,44.98458576,44.9769701,-39.4956512,39.30704725,-37.116659,55.72208204,66.95219789
12,11,48.89628887,44.9769701,-39.51506622,37.53789054,-38.35592397,54.50260255,66.64615959
13,11,52.80799198,44.9769701,-41.93517929,35.79595928,-35.34947932,55.1353785,65.49424136
14,11,56.71969509,44.9769701,-38.62286189,26.00126824,-24.24919623,46.55954693,52.4958563
15,11,60.6313982,44.9769701,-36.6003447,-41.01050241,36.88712501,54.96768632,66.1974813
16,11,64.54310131,44.9769701,-39.49440594,-40.20389331,41.63242855,56.35744084,70.06725516
17,11,68.45480442,44.9769701,-39.88125891,-41.46532916,39.53164201,57.531629,69.8042911
18,11,72.36650753,44.9769701,-38.57320529,-39.31626803,39.82201579,55.07868097,67.9665656
19,11,76.27821064,44.9769701,-38.5800826,-39.56462826,39.42367239,55.26104037,67.88231381
0,12,1.955851555,48.88801098,-37.08931408,-38.72028709,42.35691388,53.61788742,68.32997881
1,12,5.867554665,48.88801098,-40.37082232,-33.98990177,36.97814395,52.77420504,64.4398933
2,12,9.779257774,48.88801098,-38.97576952,-23.86549676,26.87849223,45.70199717,53.02005177
3,12,13.69096088,48.88801098,-38.4612427,39.50249348,-35.25426299,55.13360301,65.4414031
4,12,17.60266399,48.88801098,-37.60031488,38.25644595,-37.9892652,53.64083646,65.73068999
5,12,21.5143671,48.88801098,-38.43187101,39.38137518,-38.48051921,55.02637023,67.14649491
6,12,25.42607021,48.88801098,-37.59497076,39.12498478,-38.32475337,54.25998765,66.42991029
7,12,29.33777332,48.88801098,-39.09557071,39.0233574,-40.23841624,55.23844741,68.34044347
8,12,33.24947643,48.88801098,-39.32500358,38.31972244,-38.69774851,54.9077138,67.17419724
9,12,37.16117954,48.88801098,-39.15698019,39.24360547,-38.50366923,55.43761961,67.49712743
10,12,41.07288265,48.88801098,-37.52663119,38.71186348,-38.68426444,53.91527077,66.35758237
11,12,44.98458576,48.88801098,-39.89742016,38.96168026,-39.01130439,55.7657302,68.05658333
12,12,48.89628887,48.88801098,-39.75466003,39.09026431,-38.1007212,55.75376004,67.52885838
13,12,52.80799198,48.88801098,-43.5398133,35.42792628,-37.2782872,56.13246211,67.38341042
14,12,56.71969509,48.88801098,-40.86103598,25.43037539,-25.10578967,48.12824799,54.28286036
15,12,60.6313982,48.88801098,-39.53398315,-40.2392296,38.60461206,56.41038399,68.35530334
16,12,64.54310131,48.88801098,-40.63851236,-40.99230197,41.01244568,57.72224448,70.80874387
17,12,68.45480442,48.88801098,-39.10354714,-40.0394901,39.81053773,55.96649146,68.68134449
18,12,72.36650753,48.88801098,-38.56969662,-38.72259876,40.21728119,54.65401314,67.85639881
19,12,76.27821064,48.88801098,-40.19216042,-38.67273513,41.94918347,55.77625123,69.79057383
0,13,1.955851555,52.79905186,-34.51068366,-40.99633683,36.81095932,53.58812294,65.01333437
1,13,5.867554665,52.79905186,-36.20120774,-34.58375442,32.14568698,50.06559209,59.49713189
2,13,9.779257774,52.79905186,-37.47680137,-23.91085029,25.55573148,44.45491427,51.27703984
3,13,13.69096088,52.79905186,-36.31465653,38.25408692,-36.02642116,52.74589505,63.87513183
4,13,17.60266399,52.79905186,-38.20945412,39.57174815,-37.68302375,55.00805065,66.67755181
5,13,21.5143671,52.79905186,-37.10521845,39.17529676,-37.92533263,53.95832756,65.95325593
6,13,25.42607021,52.79905186,-38.40692408,39.92404994,-39.12053065,55.39875072,67.81915289
7,13,29.33777332,52.79905186,-37.24626818,38.25301676,-38.93233383,53.39080244,66.07801754
8,13,33.24947643,52.79905186,-38.57504877,38.10365126,-38.21164574,54.22105336,66.33289152
9,13,37.16117954,52.79905186,-39.56223295,40.06278269,-37.44229172,56.304501,67.61746847
10,13,41.07288265,52.79905186,-40.3669851,37.87247146,-38.9334884,55.35176222,67.67299387
11,13,44.98458576,52.79905186,-41.3594899,38.48664022,-38.69274928,56.49627315,68.47596459
12,13,48.89628887,52.79905186,-42.77968754,38.44904527,-37.9860643,57.5189599,68.93019533
