chgnet dft diff
0.194289 0.236044 0.041756
0.156378 0.187121 0.030743
0.152387 0.182643 0.030256
0.133452 0.165906 0.032454
0.157725 0.193880 0.036155
0.145233 0.185324 0.040091
0.158760 0.199844 0.041084
0.133172 0.165060 0.031889
0.152771 0.183683 0.030912
0.160298 0.191023 0.030725
0.154054 0.186084 0.032030
0.154780 0.187561 0.032781
0.136180 0.170106 0.033926
0.146678 0.184498 0.037821
0.117185 0.149369 0.032184
0.150624 0.183190 0.032566
0.129273 0.156935 0.027662
0.128243 0.158332 0.030088
0.141581 0.177751 0.036171
0.139616 0.175038 0.035422
0.136425 0.169212 0.032787
0.144437 0.179313 0.034876
0.170167 0.208229 0.038062
0.174019 0.213014 0.038995
0.146962 0.182244 0.035282
0.151238 0.185408 0.034170
0.134761 0.171001 0.036240
0.145901 0.184277 0.038377
0.156570 0.194773 0.038203
0.165967 0.204117 0.038150
0.160312 0.198862 0.038550
0.162096 0.202506 0.040410
0.160967 0.202450 0.041483
0.139730 0.174862 0.035131
0.153578 0.190370 0.036793
0.163767 0.205979 0.042213
0.155585 0.193013 0.037427
0.180401 0.220005 0.039604
0.164283 0.202256 0.037972
0.127108 0.161367 0.034259
0.167492 0.204413 0.036921
0.165235 0.216627 0.051392
0.151753 0.192271 0.040518
0.149797 0.185465 0.035668
0.170930 0.204674 0.033744
0.175984 0.207245 0.031261
0.172801 0.202459 0.029657
0.176182 0.205600 0.029418
0.162388 0.190104 0.027717
0.152368 0.179041 0.026673
0.153068 0.187324 0.034256
0.151703 0.181833 0.030130
0.152523 0.183676 0.031153
0.151140 0.186357 0.035217
0.182806 0.215049 0.032243
0.180369 0.215523 0.035154
0.175842 0.210872 0.035030
0.164434 0.193716 0.029282
0.183516 0.213392 0.029876
0.211412 0.246448 0.035036
0.198641 0.233798 0.035157
0.182018 0.220367 0.038348
0.168402 0.205510 0.037108
0.216616 0.254476 0.037860
0.236761 0.271116 0.034355
0.210969 0.248134 0.037165
0.189258 0.219363 0.030106
0.188383 0.217626 0.029244
0.160783 0.193447 0.032664
0.190767 0.224935 0.034167
0.157473 0.184322 0.026850
0.182809 0.209764 0.026955
0.124745 0.149993 0.025247
0.188812 0.218243 0.029431
0.209104 0.241259 0.032155
0.227581 0.264367 0.036786
0.232117 0.274385 0.042268
0.198795 0.236377 0.037582
0.192030 0.226754 0.034724
0.212469 0.244253 0.031784
0.223105 0.266883 0.043778
0.203790 0.238160 0.034370
0.195118 0.230637 0.035519
0.215737 0.252334 0.036596
0.214618 0.246188 0.031570
0.180832 0.217597 0.036765
0.170309 0.207365 0.037056
0.163707 0.193320 0.029613
0.161521 0.189379 0.027858
0.183095 0.222941 0.039846
0.202782 0.242575 0.039793
0.198941 0.234797 0.035856
0.217864 0.258903 0.041039
0.196633 0.226657 0.030025
0.225434 0.263684 0.038250
0.225887 0.266699 0.040812
0.192596 0.227467 0.034871
0.214677 0.255995 0.041318
0.187010 0.221303 0.034293
0.184736 0.218298 0.033561
0.149949 0.183728 0.033779
0.170193 0.198713 0.028520
0.196834 0.234760 0.037926
0.183172 0.221836 0.038664
0.218228 0.255130 0.036902
0.192591 0.228958 0.036366
0.159343 0.195610 0.036266
0.185397 0.223970 0.038573
0.206229 0.250390 0.044161
0.226327 0.269504 0.043177
0.201475 0.246243 0.044768
0.200409 0.241068 0.040659
0.189202 0.224575 0.035373
0.171012 0.206113 0.035101
0.176073 0.214573 0.038501
0.192477 0.233073 0.040596
0.196450 0.237551 0.041102
0.221895 0.262372 0.040477
0.196320 0.247100 0.050780
0.254118 0.315722 0.061603
0.235896 0.289098 0.053202
0.201967 0.251986 0.050020
0.248980 0.305187 0.056207
0.209386 0.264227 0.054840
0.217062 0.264986 0.047924
0.204087 0.253098 0.049011
0.198770 0.243873 0.045102
0.184633 0.217752 0.033119
0.198450 0.238484 0.040034
0.208076 0.248831 0.040756
0.221536 0.268541 0.047005
0.199691 0.239991 0.040301
0.184782 0.219680 0.034898
0.208690 0.249183 0.040492
0.215383 0.250202 0.034820
0.194237 0.221407 0.027170
0.185856 0.219818 0.033961
0.177261 0.207761 0.030499
0.209662 0.244243 0.034581
0.203498 0.242852 0.039354
0.200138 0.235089 0.034951
0.214520 0.246309 0.031788
0.169968 0.202235 0.032268
0.189612 0.233709 0.044097
0.173949 0.200108 0.026159
0.199809 0.241208 0.041399
0.206914 0.247493 0.040579
0.217814 0.257470 0.039657
0.238780 0.281186 0.042406
0.215354 0.259168 0.043814
0.190068 0.236744 0.046676
0.198440 0.243260 0.044820
0.183532 0.226741 0.043209
0.181871 0.216853 0.034982
0.172522 0.206830 0.034309
0.175259 0.210721 0.035462
0.220703 0.253598 0.032895
