Structure 6: -246.720907445715 -246.73641967773438 -6.168022686142875 -6.1684104919433596 40 0.01551223201937546
Structure 7: -246.666967724077 -246.6802215576172 -6.166674193101925 -6.16700553894043 40 0.013253833540176174
Structure 8: -246.812075404449 -246.8413848876953 -6.170301885111225 -6.171034622192383 40 0.029309483246322543
Structure 9: -246.42684505611 -246.44247436523438 -6.16067112640275 -6.161061859130859 40 0.015629309124364
Structure 10: -246.523241104769 -246.54327392578125 -6.163081027619225 -6.163581848144531 40 0.02003282101225068
Structure 11: -246.43541297662 -246.45425415039062 -6.1608853244155 -6.161356353759766 40 0.018841173770624664
Structure 12: -246.321356586202 -246.35995483398438 -6.15803391465505 -6.15899887084961 40 0.03859824778237453
Structure 13: -246.693003453103 -246.71774291992188 -6.167325086327574 -6.1679435729980465 40 0.024739466818886058
Structure 14: -245.979135738278 -246.0064697265625 -6.14947839345695 -6.1501617431640625 40 0.027333988284510724
Structure 15: -246.029216064142 -246.04698181152344 -6.15073040160355 -6.151174545288086 40 0.017765747381446317
Structure 16: -246.301034383159 -246.31991577148438 -6.157525859578975 -6.157997894287109 40 0.018881388325382886
Structure 17: -246.386515005857 -246.40562438964844 -6.1596628751464255 -6.160140609741211 40 0.0191093837914309
Structure 18: -246.185669765273 -246.20982360839844 -6.154641744131824 -6.155245590209961 40 0.024153843125446883
Structure 19: -245.797981361808 -245.82923889160156 -6.1449495340452005 -6.145730972290039 40 0.031257529793549566
Structure 20: -245.857646226188 -245.87600708007812 -6.1464411556547 -6.146900177001953 40 0.018360853890129647
Structure 21: -245.907739679378 -245.92616271972656 -6.14769349198445 -6.148154067993164 40 0.018423040348551467
Structure 22: -246.447915470926 -246.47323608398438 -6.1611978867731505 -6.161830902099609 40 0.02532061305836919
Structure 23: -246.194892294126 -246.2180938720703 -6.15487230735315 -6.1554523468017575 40 0.023201577944320206
Structure 24: -245.771552974147 -245.80313110351562 -6.144288824353675 -6.14507827758789 40 0.031578129368625696
Structure 25: -245.650757153198 -245.6884002685547 -6.14126892882995 -6.142210006713867 40 0.03764311535670117
Structure 26: -245.737605844379 -245.760498046875 -6.143440146109475 -6.144012451171875 40 0.02289220249599566
Structure 27: -245.452101985937 -245.48777770996094 -6.136302549648425 -6.137194442749023 40 0.03567572402394603
